,xrsa,xrsb,xrsa_quality,xrsb_quality
2024-05-14 12:46:00,2.584034e-06,1.2601983e-05,0,0
2024-05-14 12:47:00,6.6898187e-06,2.045238e-05,0,0
2024-05-14 12:48:00,1.32161495e-05,3.3683315e-05,0,0
2024-05-14 12:49:00,2.1515565e-05,5.1031257e-05,0,0
2024-05-14 12:50:00,3.089673e-05,7.141159e-05,0,0
2024-05-14 12:51:00,3.8147973e-05,9.075502e-05,0,0
2024-05-14 12:52:00,4.255013e-05,0.000107240245,0,0
2024-05-14 12:53:00,4.4112705e-05,0.00011705995,0,0
2024-05-14 12:54:00,4.3480406e-05,0.00012254673,0,0
2024-05-14 12:55:00,4.1167837e-05,0.00012378063,0,0
2024-05-14 12:56:00,3.7824186e-05,0.00012200812,0,0
2024-05-14 12:57:00,3.3792618e-05,0.000117170566,0,0
2024-05-14 12:58:00,2.9230154e-05,0.00011017947,0,0
2024-05-14 12:59:00,2.5119765e-05,0.00010208493,0,0
2024-05-14 13:00:00,2.1391837e-05,9.327358e-05,0,0
2024-05-14 13:01:00,1.8226901e-05,8.476112e-05,0,0
2024-05-14 13:02:00,1.5635884e-05,7.6638404e-05,0,0
2024-05-14 13:03:00,1.3509242e-05,6.9063724e-05,0,0
2024-05-14 13:04:00,1.1825483e-05,6.239794e-05,0,0
2024-05-14 13:05:00,1.0345916e-05,5.655635e-05,0,0
2024-05-14 13:06:00,9.193829e-06,5.140838e-05,0,0
2024-05-14 13:07:00,8.108754e-06,4.6869634e-05,0,0
2024-05-14 13:08:00,7.155831e-06,4.2774707e-05,0,0
2024-05-14 13:09:00,6.356257e-06,3.9125956e-05,0,0
2024-05-14 13:10:00,5.6174217e-06,3.575757e-05,0,0
2024-05-14 13:11:00,4.967529e-06,3.26948e-05,0,0
2024-05-14 13:12:00,4.4084445e-06,3.0005845e-05,0,0
2024-05-14 13:13:00,3.9152014e-06,2.7626047e-05,0,0
2024-05-14 13:14:00,3.4685943e-06,2.5481855e-05,0,0
2024-05-14 13:15:00,3.0840301e-06,2.3584762e-05,0,0
2024-05-14 13:16:00,2.7469557e-06,2.1876547e-05,0,0
2024-05-14 13:17:00,2.4558167e-06,2.0307882e-05,0,0
2024-05-14 13:18:00,2.1883043e-06,1.8874849e-05,0,0
2024-05-14 13:19:00,1.9507747e-06,1.7562392e-05,0,0
2024-05-14 13:20:00,1.7404373e-06,1.6372527e-05,0,0
2024-05-14 13:21:00,1.5608243e-06,1.5317775e-05,0,0
2024-05-14 13:22:00,1.3974693e-06,1.4357108e-05,0,0
2024-05-14 13:23:00,1.2462408e-06,1.3476931e-05,0,0
2024-05-14 13:24:00,1.1144605e-06,1.2705823e-05,0,0
2024-05-14 13:25:00,9.997211e-07,1.1970897e-05,0,0
2024-05-14 13:26:00,8.985249e-07,1.13447595e-05,0,0
2024-05-14 13:27:00,8.129817e-07,1.0766031e-05,0,0
2024-05-14 13:28:00,7.321699e-07,1.0237309e-05,0,0
2024-05-14 13:29:00,6.64779e-07,9.778909e-06,0,0
2024-05-14 13:30:00,6.060632e-07,9.359089e-06,0,0
2024-05-14 13:31:00,5.541002e-07,8.982497e-06,0,0
2024-05-14 13:32:00,5.105263e-07,8.636169e-06,0,0
2024-05-14 13:33:00,4.6966014e-07,8.334999e-06,0,0
2024-05-14 13:34:00,4.3710835e-07,8.076722e-06,0,0
